img_id,absorbance
Image_disturbance000,7.6124
Image_disturbance001,9.5432
Image_disturbance002,9.5432
Image_disturbance003,9.5432
Image_disturbance004,9.5432
Image_disturbance005,9.5432
Image_disturbance006,9.5432
Image_disturbance007,9.5432
Image_disturbance008,9.5432
Image_disturbance009,9.5432
Image_disturbance010,9.5432
Image_disturbance011,4.7716
Image_disturbance012,4.7716
Image_disturbance013,4.7716
Image_disturbance014,4.7716
Image_disturbance015,4.7716
Image_disturbance016,4.7716
Image_disturbance017,4.7716
Image_disturbance018,4.7716
Image_disturbance019,4.7716
Image_disturbance020,4.7716
Image_disturbance021,3.1811
Image_disturbance022,3.1811
Image_disturbance023,3.1811
Image_disturbance024,3.1811
Image_disturbance025,3.1811
Image_disturbance026,3.1811
Image_disturbance027,3.1811
Image_disturbance028,3.1811
Image_disturbance029,3.1811
Image_disturbance030,3.1811
Image_disturbance031,1.9086
Image_disturbance032,1.9086
Image_disturbance033,1.9086
Image_disturbance034,1.9086
Image_disturbance035,1.9086
Image_disturbance036,1.9086
Image_disturbance037,1.9086
Image_disturbance038,1.9086
Image_disturbance039,1.9086
Image_disturbance040,1.9086
Image_disturbance041,0.9543
Image_disturbance042,0.9543
Image_disturbance043,0.9543
Image_disturbance044,0.9543
Image_disturbance045,0.9543
Image_disturbance046,0.9543
Image_disturbance047,0.9543
Image_disturbance048,0.9543
Image_disturbance049,0.9543
Image_disturbance050,0.9543
Image_disturbance051,0.2401
Image_disturbance052,0.2401
Image_disturbance053,0.2401
Image_disturbance054,0.2401
Image_disturbance055,0.2401
Image_disturbance056,0.2401
Image_disturbance057,0.2401
Image_disturbance058,0.2401
Image_disturbance059,0.2401
Image_disturbance060,0.2401
Image_disturbance061,0.4911
Image_disturbance062,0.4911
Image_disturbance063,0.4911
Image_disturbance064,0.4911
Image_disturbance065,0.4911
Image_disturbance066,0.4911
Image_disturbance067,0.4911
Image_disturbance068,0.4911
Image_disturbance069,0.4911
Image_disturbance070,0.4911
Image_disturbance071,0.2674
Image_disturbance072,0.2674
Image_disturbance073,0.2674
Image_disturbance074,0.2674
Image_disturbance075,0.2674
Image_disturbance076,0.2674
Image_disturbance077,0.2674
Image_disturbance078,0.2674
Image_disturbance079,0.2674
Image_disturbance080,0.2674
Image_disturbance081,0.8413
Image_disturbance082,0.8413
Image_disturbance083,0.8413
Image_disturbance084,0.8413
Image_disturbance085,0.8413
Image_disturbance086,0.8413
Image_disturbance087,0.8413
Image_disturbance088,0.8413
Image_disturbance089,0.8413
Image_disturbance090,0.8413
Image_disturbance091,7.6124
Image_disturbance092,7.6124
Image_disturbance093,7.6124
Image_disturbance094,7.6124
Image_disturbance095,7.6124
Image_disturbance096,7.6124
Image_disturbance097,7.6124
Image_disturbance098,7.6124
Image_disturbance099,7.6124
Image_disturbance100,1.1146
Image_disturbance101,1.1146
Image_disturbance102,1.1146
Image_disturbance103,1.1146
Image_disturbance104,1.1146
Image_disturbance105,1.1146
Image_disturbance106,1.1146
Image_disturbance107,1.1146
Image_disturbance108,1.1146
Image_disturbance109,1.1146
Image_disturbance110,1.5005
Image_disturbance111,1.5005
Image_disturbance112,1.5005
Image_disturbance113,1.5005
Image_disturbance114,1.5005
Image_disturbance115,1.5005
Image_disturbance116,1.5005
Image_disturbance117,1.5005
Image_disturbance118,1.5005
Image_disturbance119,1.5005
Image000,0.3043
Image001,0.8746
Image002,4.2235
Image003,3.6416
Image004,0.7311
Image005,0.4034
Image006,1.7157
Image007,1.0037
Image008,0.1874
Image009,3.0342
Image010,1.3319
Image011,0.9333
Image012,0.6362
Image013,0.3492
Image014,7.44
Image015,3.72
Image016,2.48
Image017,1.488
Image018,0.744
Image019,0.4017
Image020,0.2008
Image021,3.6467
Image022,0.7297
Image023,3.6467
Image024,3.6467
Image025,3.6467
Image026,3.6467
Image027,3.6467
Image028,3.6467
Image029,3.6467
Image030,3.6467
Image031,3.6467
Image032,3.6467
Image033,3.6467
Image034,3.6467
Image035,3.6467
Image036,3.6467
Image037,3.6467
Image038,3.6467
Image039,3.6467
Image040,3.6467
Image041,0.7297
Image042,1.8236
Image043,1.8236
Image044,1.8236
Image045,1.8236
Image046,1.8236
Image047,1.8236
Image048,1.8236
Image049,0.7297
Image050,1.8236
Image051,1.8236
Image052,1.8236
Image053,1.8236
Image054,1.8236
Image055,1.8236
Image056,1.8236
Image057,1.8236
Image058,1.8236
Image059,1.8236
Image060,1.8236
